x,n,F(x),Math F(x),eps,abs_error
4.300000,8,-0.4014145071,-0.4007991721,0.0010000000,0.0006153350
4.400000,8,-0.3082193525,-0.3073328700,0.0010000000,0.0008864825
4.500000,9,-0.2107109335,-0.2107957994,0.0010000000,0.0000848660
4.600000,9,-0.1120267662,-0.1121525269,0.0010000000,0.0001257608
4.700000,9,-0.0122038894,-0.0123886635,0.0010000000,0.0001847740
4.800000,9,0.0877682465,0.0874989834,0.0010000000,0.0002692630
4.900000,9,0.1869016821,0.1865123694,0.0010000000,0.0003893127
5.000000,9,0.2842208406,0.2836621855,0.0010000000,0.0005586551
5.100000,9,0.3787736112,0.3779777427,0.0010000000,0.0007958685
5.200000,10,0.4684355720,0.4685166713,0.0010000000,0.0000810993
5.300000,10,0.5542558905,0.5543743362,0.0010000000,0.0001184457
5.400000,10,0.6345211198,0.6346928759,0.0010000000,0.0001717562
5.500000,10,0.7084224257,0.7086697743,0.0010000000,0.0002473486
5.600000,10,0.7752120291,0.7755658785,0.0010000000,0.0003538494
5.700000,10,0.8342098162,0.8347127848,0.0010000000,0.0005029686
5.800000,10,0.8848090020,0.8855195169,0.0010000000,0.0007105150
5.900000,11,0.9275544953,0.9274784307,0.0010000000,0.0000760645
6.000000,11,0.9602801543,0.9601702867,0.0010000000,0.0001098677
6.100000,11,0.9834261595,0.9832684384,0.0010000000,0.0001577211
6.200000,11,0.9967671722,0.9965420970,0.0010000000,0.0002250752
6.300000,11,1.0001779859,0.9998586364,0.0010000000,0.0003193495
6.400000,11,0.9936355110,0.9931849188,0.0010000000,0.0004505922
6.500000,11,0.9772199718,0.9765876257,0.0010000000,0.0006323461
6.600000,11,0.9511153688,0.9502325920,0.0010000000,0.0008827769
6.700000,12,0.9142822635,0.9143831482,0.0010000000,0.0001008847
6.800000,12,0.8692538138,0.8693974903,0.0010000000,0.0001436766
6.900000,12,0.8155215456,0.8157251001,0.0010000000,0.0002035546
7.000000,12,0.7536153251,0.7539022543,0.0010000000,0.0002869293
7.100000,12,0.6841441996,0.6845466664,0.0010000000,0.0004024669
7.200000,12,0.6077894828,0.6083513145,0.0010000000,0.0005618317
7.300000,12,0.5252968601,0.5260775174,0.0010000000,0.0007806573
