Task 3 report
==================================================
Function: cos(x) = sum((-1)^n * x^(2n) / (2n)!)

Table:
x | n | F(x) | Math F(x) | eps | abs_error
-2.800 | 6 | -0.9426869186 | -0.9422223407 | 0.001000 | 0.0004645780
-2.700 | 6 | -0.9043733121 | -0.9040721420 | 0.001000 | 0.0003011701
-2.600 | 6 | -0.8570807822 | -0.8568887534 | 0.001000 | 0.0001920288
-2.500 | 6 | -0.8012638866 | -0.8011436155 | 0.001000 | 0.0001202710
-2.400 | 6 | -0.7374676021 | -0.7373937155 | 0.001000 | 0.0000738865
-2.300 | 6 | -0.6663204709 | -0.6662760213 | 0.001000 | 0.0000444497
-2.200 | 5 | -0.5877953345 | -0.5885011173 | 0.001000 | 0.0007057827
-2.100 | 5 | -0.5044014430 | -0.5048461046 | 0.001000 | 0.0004446616
-2.000 | 5 | -0.4158730159 | -0.4161468365 | 0.001000 | 0.0002738207
-1.900 | 5 | -0.3231251415 | -0.3232895669 | 0.001000 | 0.0001644254
-1.800 | 5 | -0.2271060749 | -0.2272020947 | 0.001000 | 0.0000960198
-1.700 | 5 | -0.1287901362 | -0.1288444943 | 0.001000 | 0.0000543581
-1.600 | 5 | -0.0291698022 | -0.0291995223 | 0.001000 | 0.0000297201
-1.500 | 4 | 0.0701171875 | 0.0707372017 | 0.001000 | 0.0006200142
-1.400 | 4 | 0.1696089778 | 0.1699671429 | 0.001000 | 0.0003581651
-1.300 | 4 | 0.2673002653 | 0.2674988286 | 0.001000 | 0.0001985633
-1.200 | 4 | 0.3622528000 | 0.3623577545 | 0.001000 | 0.0001049545
-1.100 | 4 | 0.4535436653 | 0.4535961214 | 0.001000 | 0.0000524561
-1.000 | 4 | 0.5402777778 | 0.5403023059 | 0.001000 | 0.0000245281
-0.900 | 3 | 0.6223375000 | 0.6216099683 | 0.001000 | 0.0007275317
-0.800 | 3 | 0.6970666667 | 0.6967067093 | 0.001000 | 0.0003599573
-0.700 | 3 | 0.7650041667 | 0.7648421873 | 0.001000 | 0.0001619794
-0.600 | 3 | 0.8254000000 | 0.8253356149 | 0.001000 | 0.0000643851
-0.500 | 3 | 0.8776041667 | 0.8775825619 | 0.001000 | 0.0000216048
-0.400 | 3 | 0.9210666667 | 0.9210609940 | 0.001000 | 0.0000056727
-0.300 | 2 | 0.9550000000 | 0.9553364891 | 0.001000 | 0.0003364891
-0.200 | 2 | 0.9800000000 | 0.9800665778 | 0.001000 | 0.0000665778
-0.100 | 2 | 0.9950000000 | 0.9950041653 | 0.001000 | 0.0000041653
-0.000 | 1 | 1.0000000000 | 1.0000000000 | 0.001000 | 0.0000000000
0.100 | 2 | 0.9950000000 | 0.9950041653 | 0.001000 | 0.0000041653
0.200 | 2 | 0.9800000000 | 0.9800665778 | 0.001000 | 0.0000665778
0.300 | 2 | 0.9550000000 | 0.9553364891 | 0.001000 | 0.0003364891
0.400 | 3 | 0.9210666667 | 0.9210609940 | 0.001000 | 0.0000056727
0.500 | 3 | 0.8776041667 | 0.8775825619 | 0.001000 | 0.0000216048
0.600 | 3 | 0.8254000000 | 0.8253356149 | 0.001000 | 0.0000643851
0.700 | 3 | 0.7650041667 | 0.7648421873 | 0.001000 | 0.0001619794
0.800 | 3 | 0.6970666667 | 0.6967067093 | 0.001000 | 0.0003599573
0.900 | 3 | 0.6223375000 | 0.6216099683 | 0.001000 | 0.0007275317
1.000 | 4 | 0.5402777778 | 0.5403023059 | 0.001000 | 0.0000245281
1.100 | 4 | 0.4535436653 | 0.4535961214 | 0.001000 | 0.0000524561
1.200 | 4 | 0.3622528000 | 0.3623577545 | 0.001000 | 0.0001049545
1.300 | 4 | 0.2673002653 | 0.2674988286 | 0.001000 | 0.0001985633
1.400 | 4 | 0.1696089778 | 0.1699671429 | 0.001000 | 0.0003581651
1.500 | 4 | 0.0701171875 | 0.0707372017 | 0.001000 | 0.0006200142
1.600 | 5 | -0.0291698022 | -0.0291995223 | 0.001000 | 0.0000297201
1.700 | 5 | -0.1287901362 | -0.1288444943 | 0.001000 | 0.0000543581
1.800 | 5 | -0.2271060749 | -0.2272020947 | 0.001000 | 0.0000960198
1.900 | 5 | -0.3231251415 | -0.3232895669 | 0.001000 | 0.0001644254
2.000 | 5 | -0.4158730159 | -0.4161468365 | 0.001000 | 0.0002738207
2.100 | 5 | -0.5044014430 | -0.5048461046 | 0.001000 | 0.0004446616
2.200 | 5 | -0.5877953345 | -0.5885011173 | 0.001000 | 0.0007057827
2.300 | 6 | -0.6663204709 | -0.6662760213 | 0.001000 | 0.0000444497
2.400 | 6 | -0.7374676021 | -0.7373937155 | 0.001000 | 0.0000738865
2.500 | 6 | -0.8012638866 | -0.8011436155 | 0.001000 | 0.0001202710
2.600 | 6 | -0.8570807822 | -0.8568887534 | 0.001000 | 0.0001920288
2.700 | 6 | -0.9043733121 | -0.9040721420 | 0.001000 | 0.0003011701
2.800 | 6 | -0.9426869186 | -0.9422223407 | 0.001000 | 0.0004645780
2.900 | 6 | -0.9716638474 | -0.9709581651 | 0.001000 | 0.0007056823
3.000 | 7 | -0.9899396307 | -0.9899924966 | 0.001000 | 0.0000528659
3.100 | 7 | -0.9990516934 | -0.9991351503 | 0.001000 | 0.0000834569
3.200 | 7 | -0.9981649429 | -0.9982947758 | 0.001000 | 0.0001298329
3.300 | 7 | -0.9872805498 | -0.9874797699 | 0.001000 | 0.0001992201
3.400 | 7 | -0.9664964322 | -0.9667981926 | 0.001000 | 0.0003017604
3.500 | 7 | -0.9360051473 | -0.9364566873 | 0.001000 | 0.0004515400
3.600 | 7 | -0.8960904851 | -0.8967584163 | 0.001000 | 0.0006679312
3.700 | 8 | -0.8481564528 | -0.8481000317 | 0.001000 | 0.0000564211
3.800 | 8 | -0.7910539534 | -0.7909677119 | 0.001000 | 0.0000862415
3.900 | 8 | -0.7260626663 | -0.7259323042 | 0.001000 | 0.0001303621
4.000 | 8 | -0.6538386011 | -0.6536436209 | 0.001000 | 0.0001949803
4.100 | 8 | -0.5751126553 | -0.5748239465 | 0.001000 | 0.0002887087
4.200 | 8 | -0.4906842387 | -0.4902608213 | 0.001000 | 0.0004234174
4.300 | 8 | -0.4014145071 | -0.4007991721 | 0.001000 | 0.0006153350
